name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;is_runnable;is_device;is_bios;biosof;is_mechanical
lunarbat;Lunar Battle (prototype, later);1982;Atari;NO;gravitar;YES;gravitar;-;YES;NO;NO;-;NO
lupin3;Lupin III (set 1);1980;Taito;YES;-;NO;-;lupin3;YES;NO;NO;-;NO
lwings;Legendary Wings (US set 1);1986;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
lwings2;Legendary Wings (US set 2);1986;Capcom;NO;lwings;YES;lwings;-;YES;NO;NO;-;NO
lwingsjp;Ares no Tsubasa (Japan);1986;Capcom;NO;lwings;YES;lwings;-;YES;NO;NO;-;NO
m4;M-4;1977;Midway;YES;-;NO;-;m4;YES;NO;NO;-;NO
m660;Mission 660 (US);1986;Wood Place Inc. (Taito America Corporation license);YES;-;NO;-;-;YES;NO;NO;-;NO
m660b;Mission 660 (bootleg);1986;bootleg;NO;m660;YES;m660;-;YES;NO;NO;-;NO
m660j;Mission 660 (Japan);1986;Wood Place Inc. (Taito Corporation license);NO;m660;YES;m660;-;YES;NO;NO;-;NO
m79amb;M-79 Ambush;1977;Ramtek;YES;-;NO;-;-;YES;NO;NO;-;NO
mace;Mace: The Dark Age (boot ROM 1.0ce, HDD 1.0b);1996;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO
mach3;M.A.C.H. 3 (set 1);1983;Mylstar;YES;-;NO;-;-;YES;NO;NO;-;NO
machbrkr;Mach Breakers (World, MB2);1995;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
machomou;Macho Mouse;1982;Techstar;YES;-;NO;-;-;YES;NO;NO;-;NO
machridj;Vs. Mach Rider (Japan, Fighting Course Version);1985;Nintendo;NO;machridr;YES;machridr;-;YES;NO;NO;-;NO
machridr;Vs. Mach Rider (Endurance Course Version);1985;Nintendo;YES;-;NO;-;-;YES;NO;NO;-;NO
macross;Super Spacefortress Macross / Chou-Jikuu Yousai Macross;1992;Banpresto;YES;-;NO;-;-;YES;NO;NO;-;NO
macross2;Super Spacefortress Macross II / Chou-Jikuu Yousai Macross II;1993;Banpresto;YES;-;NO;-;-;YES;NO;NO;-;NO
macrossp;Macross Plus;1996;MOSS / Banpresto;YES;-;NO;-;-;YES;NO;NO;-;NO
madcrash;Mad Crasher;1984;SNK;YES;-;NO;-;-;YES;NO;NO;-;NO
madgear;Mad Gear (US);1989;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
madgearj;Mad Gear (Japan);1989;Capcom;NO;madgear;YES;madgear;-;YES;NO;NO;-;NO
madmotor;Mad Motor (prototype);1989;Mitchell;YES;-;NO;-;-;YES;NO;NO;-;NO
madshark;Mad Shark;1993;Allumer;YES;-;NO;-;-;YES;NO;NO;-;NO
magdrop2;Magical Drop II;1996;Data East Corporation;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO
magdrop3;Magical Drop III;1997;Data East Corporation;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO
magicbub;Magic Bubble;199?;Yun Sung;YES;-;NO;-;-;YES;NO;NO;-;NO
maglord;Magician Lord (NGM-005);1990;Alpha Denshi Co.;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO
maglordh;Magician Lord (NGH-005);1990;Alpha Denshi Co.;NO;maglord;YES;maglord;-;YES;NO;NO;neogeo;NO
magmax;Mag Max;1985;Nichibutsu;YES;-;NO;-;-;YES;NO;NO;-;NO
magspot;Magical Spot;1980;Universal;YES;-;NO;-;-;YES;NO;NO;-;NO
magspot2;Magical Spot II;1980;Universal;YES;-;NO;-;-;YES;NO;NO;-;NO
magworm;Magic Worm (bootleg of Centipede, set 1);1980;bootleg (Sidam);NO;centiped;YES;centiped;-;YES;NO;NO;-;NO
mahoudai;Mahou Daisakusen (Japan);1993;Raizing (Able license);NO;sstriker;YES;sstriker;-;YES;NO;NO;-;NO
mainev2p;The Main Event (2 Players ver. X);1988;Konami;NO;mainevt;YES;mainevt;-;YES;NO;NO;-;NO
mainevt;The Main Event (4 Players ver. Y);1988;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
mainevto;The Main Event (4 Players ver. F);1988;Konami;NO;mainevt;YES;mainevt;-;YES;NO;NO;-;NO
mainsnk;Main Event (1984);1984;SNK;YES;-;NO;-;-;YES;NO;NO;-;NO
majest12;Majestic Twelve - The Space Invaders Part IV (Japan);1990;Taito Corporation;NO;ssi;YES;ssi;-;YES;NO;NO;-;NO
majtitl2;Major Title 2 (World, set 1);1992;Irem;YES;-;NO;-;-;YES;NO;NO;-;NO
majtitle;Major Title (World);1990;Irem;YES;-;NO;-;-;YES;NO;NO;-;NO
majuu;Majuu no Ohkoku;1987;Konami;NO;devilw;YES;devilw;-;YES;NO;NO;-;NO
makaiden;Makai Densetsu (Japan);1988;Jaleco;NO;lomakai;YES;lomakai;-;YES;NO;NO;-;NO
makaimuc;Makai-Mura (Japan Revision C);1985;Capcom;NO;gng;YES;gng;-;YES;NO;NO;-;NO
makaimug;Makai-Mura (Japan Revision G);1985;Capcom;NO;gng;YES;gng;-;YES;NO;NO;-;NO
makaimur;Makai-Mura (Japan);1985;Capcom;NO;gng;YES;gng;-;YES;NO;NO;-;NO
maketrax;Make Trax (US set 1);1981;Alpha Denshi Co. / Kural (Williams license);NO;crush;YES;crush;-;YES;NO;NO;-;NO
maketrxb;Make Trax (US set 2);1981;Alpha Denshi Co. / Kural (Williams license);NO;crush;YES;crush;-;YES;NO;NO;-;NO
makyosen;Makyou Senshi (Japan);1987;Data East Corporation;NO;gondo;YES;gondo;-;YES;NO;NO;-;NO
malzak;Malzak;19??;Kitronix;YES;-;NO;-;-;YES;NO;NO;-;NO
manhatan;Manhattan 24 Bunsyo (Japan);1986;Konami;NO;jailbrek;YES;jailbrek;-;YES;NO;NO;-;NO
maniach;Mania Challenge (set 1);1986;Technos Japan (Taito America license);YES;-;NO;-;-;YES;NO;NO;-;NO
maniach2;Mania Challenge (set 2);1986;Technos Japan (Taito America license);NO;maniach;YES;maniach;-;YES;NO;NO;-;NO
maniacsp;Maniac Square (prototype);1996;Gaelco;NO;maniacsq;YES;maniacsq;-;YES;NO;NO;-;NO
maniacsq;Maniac Square (protected, Version 1.0, Checksum DEEE);1996;Gaelco;YES;-;NO;-;-;YES;NO;NO;-;NO
manybloc;Many Block;1991;Bee-Oh;YES;-;NO;-;-;YES;NO;NO;-;NO
mappy;Mappy (US);1983;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
mappyj;Mappy (Japan);1983;Namco;NO;mappy;YES;mappy;-;YES;NO;NO;-;NO
marble;Marble Madness (set 1);1984;Atari Games;YES;atarisy1;NO;-;-;YES;NO;NO;atarisy1;NO
marble2;Marble Madness (set 2);1984;Atari Games;NO;marble;YES;marble;-;YES;NO;NO;atarisy1;NO
marble3;Marble Madness (set 3);1984;Atari Games;NO;marble;YES;marble;-;YES;NO;NO;atarisy1;NO
marble4;Marble Madness (set 4);1984;Atari Games;NO;marble;YES;marble;-;YES;NO;NO;atarisy1;NO
marineb;Marine Boy;1982;Orca;YES;-;NO;-;-;YES;NO;NO;-;NO
marinedt;Marine Date;1981;Taito;YES;-;NO;-;-;YES;NO;NO;-;NO
mariner;Mariner;1981;Amenip;YES;-;NO;-;-;YES;NO;NO;-;NO
mario;Mario Bros. (US, Revision G);1983;Nintendo of America;YES;-;NO;-;-;YES;NO;NO;-;NO
mariojp;Mario Bros. (Japan);1983;Nintendo;NO;mario;YES;mario;mario;YES;NO;NO;-;NO
markham;Markham;1983;Sun Electronics;YES;-;NO;-;-;YES;NO;NO;-;NO
mars;Mars;1981;Artic;YES;-;NO;-;-;YES;NO;NO;-;NO
maruchan;Maru-Chan de Goo! (J 971216 V1.000);1997;Sega / Toyosuisan;YES;stvbios;NO;-;-;YES;NO;NO;stvbios;NO
marvins;Marvin's Maze;1983;SNK;YES;-;NO;-;-;YES;NO;NO;-;NO
marvland;Marvel Land (US);1989;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
marvlanj;Marvel Land (Japan);1989;Namco;NO;marvland;YES;marvland;-;YES;NO;NO;-;NO
masao;Masao;1983;bootleg;NO;mario;YES;mario;-;YES;NO;NO;-;NO
masterw;Master of Weapon (World);1989;Taito Corporation Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
mastkin;The Masters of Kin;1988;Du Tech;YES;-;NO;-;-;YES;NO;NO;-;NO
matchit;Match It;1989;Tamtex;YES;sichuan2;NO;sichuan2;-;YES;NO;NO;-;NO
matmania;Mat Mania;1985;Technos Japan (Taito America license);YES;-;NO;-;-;YES;NO;NO;-;NO
mausuke;Mausuke no Ojama the World (J 960314 V1.000);1996;Data East;YES;stvbios;NO;-;-;YES;NO;NO;stvbios;NO
maxf_102;Maximum Force v1.02;1996;Atari Games;NO;maxforce;YES;maxforce;-;YES;NO;NO;-;NO
maxforce;Maximum Force v1.05;1996;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO
maxrpm;Max RPM (ver 2);1986;Bally Midway;YES;-;NO;-;-;YES;NO;NO;-;NO
mayday;Mayday (set 1);1980;Hoei;YES;-;NO;-;-;YES;NO;NO;-;NO
maydaya;Mayday (set 2);1980;Hoei;NO;mayday;YES;mayday;-;YES;NO;NO;-;NO
maydayb;Mayday (set 3);1980;Hoei;NO;mayday;YES;mayday;-;YES;NO;NO;-;NO
mayhem;Mayhem 2002;1985;Cinematronics;YES;-;NO;-;-;YES;NO;NO;-;NO
maze;Amazing Maze;1976;Midway;YES;-;NO;-;-;YES;NO;NO;-;NO
mazerbla;Mazer Blazer (set 1);1983;Stern Electronics;YES;-;NO;-;-;YES;NO;NO;-;NO
mazinger;Mazinger Z (World);1994;Banpresto / Dynamic Pl. Toei Animation;YES;-;NO;-;-;YES;NO;NO;-;NO
mbomberj;Muscle Bomber: The Body Explosion (Japan 930713);1993;Capcom;NO;slammast;YES;slammast;-;YES;NO;NO;-;NO
mbombrd;Muscle Bomber Duo: Ultimate Team Battle (World 931206);1993;Capcom;YES;slammast;NO;slammast;-;YES;NO;NO;-;NO
mbombrdj;Muscle Bomber Duo: Heat Up Warriors (Japan 931206);1993;Capcom;NO;mbombrd;YES;mbombrd;-;YES;NO;NO;-;NO
mbrush;Magic Brush (bootleg of Crush Roller);1981;bootleg (Olympia);NO;crush;YES;crush;-;YES;NO;NO;-;NO
mcatadv;Magical Cat Adventure;1993;Wintechno;YES;-;NO;-;-;YES;NO;NO;-;NO
mcatadvj;Magical Cat Adventure (Japan);1993;Wintechno;NO;mcatadv;YES;mcatadv;-;YES;NO;NO;-;NO
mechatt;Mechanized Attack (World);1989;SNK;YES;-;NO;-;-;YES;NO;NO;-;NO
medlanes;Meadows Lanes;1977;Meadows Games, Inc.;YES;-;NO;-;-;YES;NO;NO;-;NO
megab;Mega Blast (World);1989;Taito Corporation Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
megabj;Mega Blast (Japan);1989;Taito Corporation;NO;megab;YES;megab;-;YES;NO;NO;-;NO
megadon;Megadon;1982;Epos Corporation (Photar Industries license);YES;-;NO;-;-;YES;NO;NO;-;NO
megaforc;Mega Force (World);1984;Tehkan;NO;starforc;YES;starforc;-;YES;NO;NO;-;NO
megaman;Mega Man: The Power Battle (CPS1, USA 951006);1995;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
megaman2;Mega Man 2: The Power Fighters (USA 960708);1996;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
megamn2a;Mega Man 2: The Power Fighters (Asia 960708);1996;Capcom;NO;megaman2;YES;megaman2;-;YES;NO;NO;-;NO
megatack;Megatack (set 1);1980;Game Plan (Centuri license);YES;-;NO;-;-;YES;NO;NO;-;NO
megaznik;Mega Zone (Interlogic + Kosuka);1983;Konami / Interlogic + Kosuka;NO;megazone;YES;megazone;-;YES;NO;NO;-;NO
megazone;Mega Zone (program code L);1983;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
meikyuh;Meikyuu Hunter G (Japan, set 1);1987;Data East Corporation;NO;ghostb;YES;ghostb;-;YES;NO;NO;-;NO
mercs;Mercs (World 900302);1990;Capcom;YES;-;NO;-;-;YES;NO;NO;-;NO
mercsj;Senjou no Ookami II (Japan 900302);1990;Capcom;NO;mercs;YES;mercs;-;YES;NO;NO;-;NO
mercsu;Mercs (USA 900608);1990;Capcom;NO;mercs;YES;mercs;-;YES;NO;NO;-;NO
mercsua;Mercs (USA 900608);1990;Capcom;NO;mercs;YES;mercs;-;YES;NO;NO;-;NO
mermaid;Mermaid;1982;Sanritsu / Rock-Ola;YES;-;NO;-;-;YES;NO;NO;-;NO
metafox;Meta Fox;1989;Seta;YES;-;NO;-;-;YES;NO;NO;-;NO
metalb;Metal Black (World);1991;Taito Corporation Japan;YES;-;NO;-;-;YES;NO;NO;-;NO
metalbj;Metal Black (Japan);1991;Taito Corporation;NO;metalb;YES;metalb;-;YES;NO;NO;-;NO
metamrph;Metamorphic Force (ver EAA);1993;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
metamrpj;Metamorphic Force (ver JAA);1993;Konami;NO;metamrph;YES;metamrph;-;YES;NO;NO;-;NO
meteor;Meteoroids;1981;Venture Line;NO;spcforce;YES;spcforce;-;YES;NO;NO;-;NO
metlclsh;Metal Clash (Japan);1985;Data East;YES;-;NO;-;-;YES;NO;NO;-;NO
metlhawk;Metal Hawk (Rev C);1988;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
metmqstr;Metamoqester (International);1995;Banpresto / Pandorabox;YES;-;NO;-;-;YES;NO;NO;-;NO
metrocra;Metro-Cross (set 2);1985;Namco;NO;metrocrs;YES;metrocrs;-;YES;NO;NO;-;NO
metrocrs;Metro-Cross (set 1);1985;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
mexico86;Mexico 86 (bootleg of Kick and Run) (set 1);1986;bootleg;NO;kicknrun;YES;kicknrun;-;YES;NO;NO;-;NO
mgcldate;Magical Date / Magical Date - dokidoki kokuhaku daisakusen (Ver 2.02J);1996;Taito;NO;mgcldtex;YES;mgcldtex;-;YES;NO;NO;coh1000t;NO
mgcrystj;Magical Crystals (Japan, 92/01/13);1991;Kaneko (Atlus license);NO;mgcrystl;YES;mgcrystl;-;YES;NO;NO;-;NO
mgcrystl;Magical Crystals (World, 92/01/10);1991;Kaneko;YES;-;NO;-;-;YES;NO;NO;-;NO
mhavoc;Major Havoc (rev 3);1983;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO
mhavoc2;Major Havoc (rev 2);1983;Atari;NO;mhavoc;YES;mhavoc;-;YES;NO;NO;-;NO
mhavocp;Major Havoc (prototype);1983;Atari;NO;mhavoc;YES;mhavoc;-;YES;NO;NO;-;NO
mhavocrv;Major Havoc (Return to Vax);2006;Atari / JMA (hack/homebrew);NO;mhavoc;YES;mhavoc;-;YES;NO;NO;-;NO
mia;M.I.A. - Missing in Action (version T);1989;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
mia2;M.I.A. - Missing in Action (version S);1989;Konami;NO;mia;YES;mia;-;YES;NO;NO;-;NO
miaj;M.I.A. - Missing in Action (version R) (Japan);1989;Konami;NO;mia;YES;mia;-;YES;NO;NO;-;NO
midres;Midnight Resistance (World);1989;Data East Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
midresj;Midnight Resistance (Japan);1989;Data East Corporation;NO;midres;YES;midres;-;YES;NO;NO;-;NO
midresu;Midnight Resistance (US);1989;Data East USA;NO;midres;YES;midres;-;YES;NO;NO;-;NO
miexchng;Money Puzzle Exchanger / Money Idol Exchanger;1997;Face;YES;neogeo;NO;-;-;YES;NO;NO;neogeo;NO
mightguy;Mighty Guy;1986;Nichibutsu;YES;-;NO;-;-;YES;NO;NO;-;NO
mightybj;Vs. Mighty Bomb Jack (Japan);1986;Tecmo;YES;-;NO;-;-;YES;NO;NO;-;NO
mikie;Mikie;1984;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
mikiehs;Mikie (High School Graffiti);1984;Konami;NO;mikie;YES;mikie;-;YES;NO;NO;-;NO
mikiej;Shinnyuushain Tooru-kun;1984;Konami;NO;mikie;YES;mikie;-;YES;NO;NO;-;NO
milliped;Millipede;1982;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO
millpac;Millpac (bootleg of Centipede);1980;bootleg? (Valadon Automation);NO;centiped;YES;centiped;-;YES;NO;NO;-;NO
mimonkey;Mighty Monkey;1982;Universal Video Games;YES;-;NO;-;-;YES;NO;NO;-;NO
mimonsco;Mighty Monkey (bootleg on Super Cobra hardware);1982;bootleg;NO;mimonkey;YES;mimonkey;-;YES;NO;NO;-;NO
mimonscr;Mighty Monkey (bootleg on Scramble hardware);1982;bootleg;NO;mimonkey;YES;mimonkey;-;YES;NO;NO;-;NO
minefld;Minefield;1983;Stern Electronics;YES;-;NO;-;-;YES;NO;NO;-;NO
mineswpr;Minesweeper;1977;Amutech;YES;-;NO;-;blockade;YES;NO;NO;-;NO
minferno;Inferno (Meadows);1978;Meadows Games, Inc.;YES;-;NO;-;-;YES;NO;NO;-;NO
minigol2;Mini Golf (set 2);1985;Bally/Sente;NO;minigolf;YES;minigolf;-;YES;NO;NO;-;NO
minigolf;Mini Golf (11/25/85);1985;Bally/Sente;YES;-;NO;-;-;YES;NO;NO;-;NO
minivadr;Mini Vaders;1990;Taito Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
mirninja;Mirai Ninja (Japan);1988;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
missile;Missile Command (rev 3);1980;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO
missile2;Missile Command (rev 2);1980;Atari;NO;missile;YES;missile;-;YES;NO;NO;-;NO
mizubaku;Mizubaku Daibouken (Japan);1990;Taito Corporation;NO;liquidk;YES;liquidk;-;YES;NO;NO;-;NO
mjleague;Major League;1985;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
mk;Mortal Kombat (rev 5.0 T-Unit 03/19/93);1992;Midway;YES;-;NO;-;-;YES;NO;NO;-;NO
mk2;Mortal Kombat II (rev L3.1);1993;Midway;YES;-;NO;-;-;YES;NO;NO;-;NO
mk2chal;Mortal Kombat II Challenger (hack);1993;hack;NO;mk2;YES;mk2;-;YES;NO;NO;-;NO
mk2r14;Mortal Kombat II (rev L1.4);1993;Midway;NO;mk2;YES;mk2;-;YES;NO;NO;-;NO
mk2r21;Mortal Kombat II (rev L2.1);1993;Midway;NO;mk2;YES;mk2;-;YES;NO;NO;-;NO
mk2r32;Mortal Kombat II (rev L3.2 (European));1993;Midway;NO;mk2;YES;mk2;-;YES;NO;NO;-;NO
mk2r42;Mortal Kombat II (rev L4.2, hack);1993;hack;NO;mk2;YES;mk2;-;YES;NO;NO;-;NO
mk2r91;Mortal Kombat II (rev L9.1, hack);1993;hack;NO;mk2;YES;mk2;-;YES;NO;NO;-;NO
mk3;Mortal Kombat 3 (rev 2.1);1994;Midway;YES;-;NO;-;-;YES;NO;NO;-;NO
mk3r10;Mortal Kombat 3 (rev 1.0);1994;Midway;NO;mk3;YES;mk3;-;YES;NO;NO;-;NO
mk3r20;Mortal Kombat 3 (rev 2.0);1994;Midway;NO;mk3;YES;mk3;-;YES;NO;NO;-;NO
mkla1;Mortal Kombat (rev 1.0 08/09/92);1992;Midway;NO;mk;YES;mk;-;YES;NO;NO;-;NO
mkla2;Mortal Kombat (rev 2.0 08/18/92);1992;Midway;NO;mk;YES;mk;-;YES;NO;NO;-;NO
mkla3;Mortal Kombat (rev 3.0 08/31/92);1992;Midway;NO;mk;YES;mk;-;YES;NO;NO;-;NO
mkla4;Mortal Kombat (rev 4.0 09/28/92);1992;Midway;NO;mk;YES;mk;-;YES;NO;NO;-;NO
mkprot9;Mortal Kombat (prototype, rev 9.0 07/28/92);1992;Midway;NO;mk;YES;mk;-;YES;NO;NO;-;NO
mkr4;Mortal Kombat (rev 4.0 T-Unit 02/11/93);1992;Midway;NO;mk;YES;mk;-;YES;NO;NO;-;NO
mmatrix;Mars Matrix: Hyper Solid Shooting (USA 000412);2000;Takumi (Capcom license);YES;-;NO;-;-;YES;NO;NO;-;NO
mmatrixj;Mars Matrix: Hyper Solid Shooting (Japan 000412);2000;Takumi (Capcom license);NO;mmatrix;YES;mmatrix;-;YES;NO;NO;-;NO
mmaze;Marchen Maze (Japan);1988;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
mmonkey;Minky Monkey;1982;Technos Japan / Roller Tron;YES;-;NO;-;-;YES;NO;NO;-;NO
mmpanic;Monkey Mole Panic (USA);1992;Nakanihon / East Technology (Taito license);YES;-;NO;-;-;YES;NO;NO;-;NO
mnchmobl;Munch Mobile (US);1983;SNK (Centuri license);NO;joyfulr;YES;joyfulr;-;YES;NO;NO;-;NO
mnight;Mutant Night;1987;UPL;YES;-;NO;-;-;YES;NO;NO;-;NO
mofflott;Maze of Flott (Japan);1989;Taito Corporation;YES;-;NO;-;-;YES;NO;NO;-;NO
moguchan;Mogu Chan (bootleg?);1982;Orca (Eastern Commerce Inc. license);YES;-;NO;-;-;YES;NO;NO;-;NO
mogura;Mogura Desse (Japan);1991;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
mole;Mole Attack;1982;Yachiyo Electronics, Ltd.;YES;-;NO;-;-;YES;NO;NO;-;NO
momoko;Momoko 120% (Japanese text);1986;Jaleco;YES;-;NO;-;-;YES;NO;NO;-;NO
monkeyd;Monkey Donkey;1981;bootleg;NO;ckong;YES;ckong;-;YES;NO;NO;-;NO
monsterb;Monster Bash;1982;Sega;YES;-;NO;-;monsterb;YES;NO;NO;-;NO
montecar;Monte Carlo;1979;Atari;YES;-;NO;-;-;YES;NO;NO;-;NO
monymony;Money Money (set 1);1983;Zaccaria;YES;-;NO;-;-;YES;NO;NO;-;NO
moo;Wild West C.O.W.-Boys of Moo Mesa (ver EA);1992;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
moobl;Wild West C.O.W.-Boys of Moo Mesa (bootleg ver AA);1992;bootleg;NO;moo;YES;moo;-;YES;NO;NO;-;NO
moonal2;Moon Alien Part 2;1980;Namco / Nichibutsu;YES;-;NO;-;galaxian;YES;NO;NO;-;NO
moonal2b;Moon Alien Part 2 (older version);1980;Namco / Nichibutsu;NO;moonal2;YES;moonal2;galaxian;YES;NO;NO;-;NO
moonaln;Moon Alien;1979;Namco / Nichibutsu (Karateco license?);NO;galaxian;YES;galaxian;galaxian;YES;NO;NO;-;NO
moonbase;Moon Base Zeta (set 1);1979;Taito / Nichibutsu;NO;invadpt2;YES;invadpt2;invaders;YES;NO;NO;-;NO
mooncrgx;Moon Cresta (Galaxian hardware);1980;bootleg;NO;mooncrst;YES;mooncrst;galaxian;YES;NO;NO;-;NO
mooncrs2;Moon Cresta (bootleg set 2);1980;bootleg;NO;mooncrst;YES;mooncrst;galaxian;YES;NO;NO;-;NO
mooncrsa;Moon Cresta (Nichibutsu, old rev);1980;Nichibutsu;NO;mooncrst;YES;mooncrst;galaxian;YES;NO;NO;-;NO
mooncrsb;Moon Cresta (bootleg set 1);1980;bootleg;NO;mooncrst;YES;mooncrst;galaxian;YES;NO;NO;-;NO
mooncrsg;Moon Cresta (Gremlin);1980;Gremlin;NO;mooncrst;YES;mooncrst;galaxian;YES;NO;NO;-;NO
mooncrst;Moon Cresta (Nichibutsu);1980;Nichibutsu;YES;-;NO;-;galaxian;YES;NO;NO;-;NO
mooncrsu;Moon Cresta (Nichibutsu, unencrypted);1980;Nichibutsu USA;NO;mooncrst;YES;mooncrst;galaxian;YES;NO;NO;-;NO
moonqsr;Moon Quasar;1980;Nichibutsu;YES;-;NO;-;galaxian;YES;NO;NO;-;NO
moonwar;Moonwar;1981;Stern Electronics;YES;-;NO;-;-;YES;NO;NO;-;NO
moonwara;Moonwar (older);1981;Stern Electronics;NO;moonwar;YES;moonwar;-;YES;NO;NO;-;NO
mooua;Wild West C.O.W.-Boys of Moo Mesa (ver UA);1992;Konami;NO;moo;YES;moo;-;YES;NO;NO;-;NO
moremorp;More More Plus;1999;SemiCom / Exit;YES;-;NO;-;-;YES;NO;NO;-;NO
mosaic;Mosaic;1990;Space;YES;-;NO;-;-;YES;NO;NO;-;NO
mosaica;Mosaic (Fuuki);1990;Space (Fuuki license);NO;mosaic;YES;mosaic;-;YES;NO;NO;-;NO
motofren;Moto Frenzy;1992;Atari Games;YES;-;NO;-;-;YES;NO;NO;-;NO
motorace;MotoRace USA;1983;Irem (Williams license);NO;travrusa;YES;travrusa;-;YES;NO;NO;-;NO
motos;Motos;1985;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
mouja;Mouja (Japan);1996;Etona;YES;-;NO;-;-;YES;NO;NO;-;NO
mouser;Mouser;1983;UPL;YES;-;NO;-;-;YES;NO;NO;-;NO
mouserc;Mouser (Cosmos);1983;UPL (Cosmos license);NO;mouser;YES;mouser;-;YES;NO;NO;-;NO
mp_gaxe2;Golden Axe II (Mega Play) (Rev B);1993;Sega;YES;megaplay;NO;-;-;YES;NO;NO;megaplay;NO
mp_sonic;Sonic The Hedgehog (Mega Play);1993;Sega;YES;megaplay;NO;-;-;YES;NO;NO;megaplay;NO
mpangj;Mighty! Pang (Japan 001011);2000;Mitchell (Capcom license);NO;mpang;YES;mpang;-;YES;NO;NO;-;NO
mpatrol;Moon Patrol;1982;Irem;YES;-;NO;-;-;YES;NO;NO;-;NO
mpatrolw;Moon Patrol (Williams);1982;Irem (Williams license);NO;mpatrol;YES;mpatrol;-;YES;NO;NO;-;NO
mplanets;Mad Planets;1983;Gottlieb;YES;-;NO;-;-;YES;NO;NO;-;NO
mplanuk;Mad Planets (UK);1983;Gottlieb (Taitel license);NO;mplanets;YES;mplanets;-;YES;NO;NO;-;NO
mranger;Moon Ranger (bootleg of Moon Patrol);1982;bootleg;NO;mpatrol;YES;mpatrol;-;YES;NO;NO;-;NO
mrdo;Mr. Do!;1982;Universal;YES;-;NO;-;-;YES;NO;NO;-;NO
mrdofix;Mr. Do! (bugfixed);1982;Universal (Taito license);NO;mrdo;YES;mrdo;-;YES;NO;NO;-;NO
mrdot;Mr. Do! (Taito);1982;Universal (Taito license);NO;mrdo;YES;mrdo;-;YES;NO;NO;-;NO
mrdoy;Mr. Do! (prototype);1982;Universal;NO;mrdo;YES;mrdo;-;YES;NO;NO;-;NO
mrdrillr;Mr. Driller (US, DRI3/VER.A2);1999;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
mrdrilr2;Mr. Driller 2 (Japan, DR21 Ver.A);2000;Namco;YES;-;NO;-;-;YES;NO;NO;-;NO
mrdu;Mr. Du!;1982;bootleg;NO;mrdo;YES;mrdo;-;YES;NO;NO;-;NO
mrflea;The Amazing Adventures of Mr. F. Lea;1982;Pacific Novelty;YES;-;NO;-;-;YES;NO;NO;-;NO
mrgoemon;Mr. Goemon (Japan);1986;Konami;YES;-;NO;-;-;YES;NO;NO;-;NO
mrheli;Mr. HELI no Daibouken (Japan);1987;Irem;NO;bchopper;YES;bchopper;-;YES;NO;NO;-;NO
mrjong;Mr. Jong (Japan);1983;Kiwako;YES;-;NO;-;-;YES;NO;NO;-;NO
mrkougar;Mr. Kougar;1984;ATW;YES;-;NO;-;-;YES;NO;NO;-;NO
mrkougb;Mr. Kougar (German bootleg);1984;bootleg (Gross);NO;mrkougar;YES;mrkougar;-;YES;NO;NO;-;NO
mrkougr2;Mr. Kougar (earlier);1983;ATW;NO;mrkougar;YES;mrkougar;-;YES;NO;NO;-;NO
mrlo;Mr. Lo!;1982;bootleg;NO;mrdo;YES;mrdo;-;YES;NO;NO;-;NO
mrtnt;Mr. TNT;1983;Techstar (Telko license);YES;-;NO;-;-;YES;NO;NO;-;NO
mrviking;Mister Viking (315-5041);1984;Sega;YES;-;NO;-;-;YES;NO;NO;-;NO
